,Bedroom,Bathroom,Den,Address,Lat,Long,Price,Postal Code,Neighborhood,Borough
33,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
34,1,2.0,1,M5V,43.6402232,-79.395951,2500.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
35,2,2.0,0,M5V,43.643207700000005,-79.39211,3200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
36,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
37,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
38,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
39,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
40,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
41,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
42,1,1.0,0,M5V,43.6469441,-79.3923973,1850.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
43,3,2.0,0,M5V,43.6467641,-79.3922208,3200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
44,1,1.0,1,M5V,43.6406042,-79.3971881,1750.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
45,2,1.0,0,M5V,43.6383175,-79.3977947,3200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
46,2,1.0,0,M5V,43.6469441,-79.3923973,2500.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
47,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
48,1,1.0,0,M5V,43.6367593,-79.3978503,1900.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
49,1,1.0,0,M5V,43.647632,-79.39296259999999,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
50,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
51,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
52,1,2.0,1,M5V,43.6402232,-79.395951,2500.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
53,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
54,2,1.0,0,M5V,43.645641,-79.39295340000001,1900.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
55,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
56,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
57,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
58,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
59,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
60,1,1.0,0,M5V,43.6469441,-79.3923973,1850.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
61,3,2.0,0,M5V,43.6467641,-79.3922208,3200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
62,2,1.0,0,M5V,43.6383175,-79.3977947,3200.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
63,2,1.0,0,M5V,43.6469441,-79.3923973,2500.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
64,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
65,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
66,1,1.0,0,M5V,43.6367593,-79.3978503,1900.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
67,1,1.0,1,M5V,43.640863700000004,-79.39573929999999,2350.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
68,3,2.0,0,M5V,43.6387842,-79.3988635,3500.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
69,1,1.0,1,M5V,43.6476244,-79.3968608,2700.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
70,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
71,1,1.0,0,M5V,43.6434855,-79.39230450000001,2300.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
72,1,1.0,0,M5V,43.6469441,-79.3923973,2090.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
73,1,1.0,0,M5V,43.6469441,-79.3923973,2150.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
74,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
75,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
76,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
77,1,1.0,0,M5V,43.647632,-79.39296259999999,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
78,1,1.0,0,M5V,43.6489001,-79.392205,2100.0,M5V,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Downtown Toronto
