,Postal Code,Latitude,Longitude,Borough,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
28,M5W,43.6464352,-79.37484599999999,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,1,Coffee Shop,Café,Restaurant,Hotel,Japanese Restaurant,Cocktail Bar,Breakfast Spot,Beer Bar,Gastropub,Park
29,M5X,43.6484292,-79.3822802,Downtown Toronto,"First Canadian Place,Underground city",1,Café,Hotel,Coffee Shop,Steakhouse,Restaurant,Italian Restaurant,American Restaurant,Theater,Japanese Restaurant,Asian Restaurant
30,M6G,43.669542,-79.4225637,Downtown Toronto,Christie,1,Korean Restaurant,Café,Coffee Shop,Grocery Store,Ice Cream Shop,Cocktail Bar,Indian Restaurant,Comedy Club,Sandwich Place,Park
31,M6H,43.66900510000001,-79.4422593,West Toronto,"Dovercourt Village,Dufferin",0,Café,Park,Coffee Shop,Bar,Pharmacy,Brewery,Supermarket,Sushi Restaurant,Portuguese Restaurant,Bakery
32,M6J,43.647926700000006,-79.4197497,West Toronto,"Little Portugal,Trinity",1,Bar,Café,Bakery,Coffee Shop,Cocktail Bar,Pizza Place,Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant,Italian Restaurant
33,M6K,43.6368472,-79.42819140000002,West Toronto,"Brockton,Exhibition Place,Parkdale Village",1,Coffee Shop,Café,Restaurant,Bar,Furniture / Home Store,Tibetan Restaurant,Bakery,Gift Shop,Park,Caribbean Restaurant
34,M6P,43.6616083,-79.46476329999999,West Toronto,"High Park,The Junction South",0,Bar,Café,Coffee Shop,Italian Restaurant,Convenience Store,Sushi Restaurant,Thai Restaurant,Breakfast Spot,Food Truck,Metro Station
35,M6R,43.6489597,-79.456325,West Toronto,"Parkdale,Roncesvalles",0,Bar,Sushi Restaurant,Coffee Shop,Breakfast Spot,Café,Pizza Place,Bakery,Sandwich Place,Thai Restaurant,Eastern European Restaurant
36,M6S,43.6515706,-79.4844499,West Toronto,"Runnymede,Swansea",0,Café,Coffee Shop,Bakery,Pizza Place,Italian Restaurant,Sushi Restaurant,Gym,Falafel Restaurant,Pub,Gastropub
37,M7Y,43.6627439,-79.321558,East Toronto,Business Reply Mail Processing Centre 969 Eastern,0,Park,Coffee Shop,Brewery,Pizza Place,Italian Restaurant,Sushi Restaurant,Pet Store,New American Restaurant,Pub,French Restaurant
