,Bedroom,Bathroom,Den,Address,Lat,Long,Price
84,2,2.0,0,M5V,43.643207700000005,-79.39211,3200.0
85,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
86,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
87,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
88,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
89,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
90,2,2.0,0,M5B,43.6548421,-79.37920150000001,3099.0
91,2,2.0,0,M4Y,43.6655881,-79.383028,3700.0
92,2,2.0,0,M5H,43.6504185,-79.38179079999999,3000.0
93,2,1.0,0,M5J,43.6408157,-79.38175229999999,1500.0
94,2,2.0,0,M5A,43.6551919,-79.3539119,2999.0
95,1,1.0,0,M6k,43.6399343,-79.4164454,2100.0
96,2,1.0,0,L7R,43.336221,-79.78690040000001,1775.0
97,3,1.5,0,M9N,43.705123,-79.5300905,2050.0
98,1,1.0,0,M9N,43.705123,-79.5300905,1525.0
99,2,1.0,0,M9N,43.705123,-79.5300905,1799.0
100,2,1.0,0,L7P,43.345193200000004,-79.82612879999999,1875.0
101,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1625.0
102,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
103,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
104,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
105,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
106,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
107,1,1.0,0,M4Y,43.6695496,-79.3837757,2000.0
108,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0
109,2,2.0,0,L5B,43.581639100000004,-79.648193,2300.0
110,2,2.0,0,M4Y,43.666751500000004,-79.37623549999999,4100.0
111,1,1.0,0,M5G,43.65506920000001,-79.38747049999999,1200.0
112,2,2.0,0,m1s,43.7800331,-79.28105450000001,2184.0
113,2,2.0,0,L5L,43.5464869,-79.68541570000001,2350.0
114,1,1.0,0,L5B,43.588602,-79.63170040000001,1900.0
115,1,1.0,0,M4L,43.666988700000005,-79.3146912,1100.0
116,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
117,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
118,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
119,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
120,1,1.0,0,L3R,43.85631,-79.3286298,1800.0
121,1,1.0,1,M5A,43.65598789999999,-79.35887690000001,3200.0
122,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
123,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0
124,1,1.0,0,M4V,43.6527574,-79.3665108,2480.0
125,1,1.0,1,M5E,43.6458091,-79.3756819,3000.0
126,1,1.0,0,M4V,43.6448637,-79.3990598,2250.0
127,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0
128,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
130,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1675.0
131,2,2.0,0,M5E,43.6458091,-79.3756819,3400.0
132,1,1.0,0,M6K,43.640845500000005,-79.4143193,2180.0
133,1,1.0,0,M4Y,43.669450700000006,-79.38747049999999,2550.0
134,1,1.0,1,L3R,43.8413607,-79.3201494,1900.0
135,1,1.0,0,L6G,43.8561002,-79.3370188,1800.0
136,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0
137,1,1.0,0,M5B,43.660846,-79.3787556,2250.0
138,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
139,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
140,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
141,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
142,1,1.0,0,M5V,43.6489001,-79.392205,2550.0
143,1,1.0,0,M5E,43.6485726,-79.37627540000001,1900.0
144,1,1.0,0,L7J,43.6281687,-80.041462,1175.0
145,2,2.0,0,L6G,43.8497521,-79.32466629999999,2300.0
146,1,1.0,0,M5A,43.653075,-79.37017900000001,2000.0
